model_id,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,4,5,6,7,8,9
conservative,2.613766339869281,1.3188854489164086,2.106782106782107,2.42962962962963,1.8686988965626739,2.328695652173913,2.386111111111111,1.5982142857142856,1.9895061728395065,2.7255434782608696,1.607142857142857,1.4933333333333334,1.7288676236044658,2.0772727272727276,1.7873015873015874,1.656231884057971,2.0994256288373934,1.8431372549019607,1.553921568627451,1.6293363499245854,1.8431372549019607,1.1623376623376622,1.1764705882352942,1.8743589743589746,1.3148880105401846,2.025,1.7568201193520887,1.6499202551834131,1.2514619883040936,2.6441647597254003,1.6772486772486772,1.1794871794871795,1.8954545454545455,1.6907894736842106,2.099264705882353,1.8934343434343435
deepseek,2.125,1.75,2.0,1.8111111111111111,1.875,2.0416666666666665,1.9805555555555554,1.7291666666666667,1.9583333333333333,2.0,1.6041666666666667,1.875,1.7291666666666667,2.0833333333333335,2.0625,1.3958333333333333,2.0416666666666665,1.875,1.8154761904761905,1.7291666666666667,1.875,1.5208333333333333,1.3958333333333333,1.9972222222222225,1.2708333333333333,2.0833333333333335,2.0,1.5208333333333333,1.8541666666666667,1.875,1.625,1.5208333333333333,1.9791666666666667,2.0,2.0,1.9694444444444443
deepseek_small,2.035714285714286,1.8865788865788866,1.989688940092166,1.9985145573380867,1.9755118755118755,2.1249407302038885,1.8414351851851851,1.9586056644880177,1.8351106524481138,1.9488432714239166,1.7937035937035937,1.828828828828829,1.895065693877239,1.9019826277890794,2.027777777777778,1.6231685845437969,2.045613083943255,1.8505135387488332,1.8230691671708004,1.9603174603174605,2.063091663091663,1.8676470588235297,1.787041943904689,2.063077363077363,1.9259185259185259,1.8629692510847011,1.9065045617464973,1.863954002653693,1.8232323232323233,1.953216374269006,1.974296027776503,1.895223158381053,1.8792892156862744,1.9524501985802296,1.8728441914400171,2.007917007917008
gpt-oss,2.0904761904761906,1.8333333333333335,2.0,1.9166666666666667,1.9333333333333333,2.0555555555555554,2.0,1.8703703703703702,1.9523809523809526,2.0833333333333335,1.9090909090909092,1.9761904761904763,1.8455433455433454,1.9930555555555556,2.1245421245421245,1.5555555555555556,1.9761904761904763,2.0,2.0317460317460316,1.9090909090909092,2.0256410256410255,1.7785714285714285,2.0444444444444447,1.8838383838383839,1.707936507936508,2.0,1.902116402116402,1.9484126984126986,1.8879629629629628,1.9722222222222223,1.8746031746031744,1.8796296296296298,1.9351648351648354,2.0,2.0,1.9761904761904763
gpt4,1.9375,1.6875,2.0,2.1875,1.875,2.0,2.0,1.9375,1.75,2.125,1.75,2.0,2.125,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.75,1.0,2.0,1.5,1.9375,1.8125,1.5,2.1875,2.0,1.0,2.0,1.9375,1.9375,2.0,2.0
grok,2.3125,1.5625,1.875,1.75,1.75,2.25,2.2142857142857144,1.875,1.75,2.0625,1.5625,1.8125,2.4375,2.2666666666666666,2.125,1.375,1.6875,2.1875,2.5,1.9375,2.25,1.1875,1.1875,2.5625,1.625,1.8125,1.375,1.6875,1.9375,2.25,1.0,2.0,2.0,1.75,2.25,1.5625
liberal,1.9259259259259258,1.6708482676224612,1.568752036493972,1.8215728715728716,1.2209270805096233,1.9520833333333332,1.4655314757481939,1.2056372549019607,1.6455176767676767,2.363918216859393,1.360249042145594,1.3194003527336862,1.5693091630591631,2.283363322837007,1.871351766513057,1.1222394220846235,1.8104377104377105,1.5054278877808287,1.3315994623655916,1.2561117290816959,1.6077188940092164,1.249278499278499,1.5257556406981694,1.9997619047619049,1.0323232323232323,1.7447385350611155,1.557456140350877,1.4465632406808877,1.2194878344303632,2.0658577533577533,1.8001254373803395,1.1728110599078343,1.2164918414918415,1.555483870967742,1.883727598566308,1.2294372294372293
llama3,2.332512315270936,1.501294903926483,2.1413793103448278,1.5231481481481481,1.7045454545454544,1.7443409247757076,1.939506172839506,1.8398550724637681,2.341414141414141,2.277351680577487,1.2946386946386947,1.7478927203065133,1.3417508417508417,1.3055555555555556,1.7525946275946274,1.2117906248341033,2.081449275362319,1.5745607049954877,1.4506556245686681,1.4009019795657727,2.3501866490996925,1.4083493967302063,1.592063492063492,1.7830246913580245,1.5014367816091954,1.9712820512820513,1.5026086956521738,1.560897435897436,1.348148148148148,2.018341307814992,1.7289989264626946,1.2302979671400724,1.318827160493827,2.073734236777715,1.643827160493827,1.5792540792540792
llama3_big,2.6304892425582076,1.2763063572910773,1.9055330634278,1.6251167133520077,1.6570048309178744,2.0768740031897925,1.7012544148094022,1.4843073593073592,2.1100759144237404,2.163690476190476,1.2773335140507815,1.424901185770751,1.76,1.5610256410256411,1.482905982905983,1.1072609058879082,1.474607182940516,2.0459197235513025,1.5116103564379426,1.692513368983957,2.046626984126984,1.1534391534391535,1.676984126984127,2.232743416651463,1.1905049981275027,1.8936651583710404,1.6240079365079365,1.3256682027649769,1.412353347135956,2.0204980842911877,1.764021164021164,1.1949454054717212,1.4146445295870584,1.7243939393939396,2.005390287312484,1.9116059379217274
llama4,2.0849358974358974,1.6261574074074074,1.9769016328156113,2.063333333333333,2.0155677655677655,1.9278996865203764,1.913839451242121,1.7931092324208266,1.9652777777777777,2.0530137981118375,1.3963822339600496,1.7575682382133995,1.5227513227513227,1.9437332878193094,1.8766381766381766,1.527777777777778,1.8666666666666665,1.8580246913580247,1.775807334428024,1.9114942528735632,1.9103968253968253,1.5361111111111112,1.546966966966967,2.009605734767025,1.375213675213675,1.919561157796452,1.9076479076479078,1.6884057971014492,1.837777777777778,2.1334776334776335,1.6945970695970696,1.432348677962713,1.7695402298850575,1.9871794871794872,1.8171277997364956,1.8741418764302062
ministral14,2.2146720757268423,1.8167548500881834,1.9817249417249416,1.9563492063492063,1.8719806763285023,1.9805555555555554,1.7585249042145594,1.8374542124542124,1.968973462577467,2.0021604938271604,1.37369227994228,1.7196201329534662,1.7740403761909136,1.9541847041847042,2.3218125960061444,1.2828113915070436,1.9561237373737377,1.9444444444444444,1.6023646071700994,1.8042857142857143,2.013333333333333,1.5846153846153845,1.876193516998115,2.1201018808777428,1.3704686118479221,1.8205815923207227,1.767476350809684,1.6407833120476798,1.7022295303960924,1.9905239687848384,1.945094760312152,1.5771159874608152,1.7197530864197532,1.7964530892448511,1.9002469135802469,1.588974358974359
ministral3,2.10518982932776,1.9352869352869353,1.9903993855606759,1.9961192810457515,1.7766047572499186,2.021753937845892,1.8950617283950617,1.8751493428912784,2.0305079189460526,2.1613526570048305,1.712029569892473,1.8476478494623656,1.7167222840192806,1.890438825922697,2.1756978653530377,1.4133860153256705,2.036273115220484,2.0211743206737647,1.6804953560371516,1.759631790881791,2.0462647464146717,1.7522222222222223,1.9449735449735448,2.1021486229819564,1.5418189522750145,2.0822803195352217,1.9292108753315649,1.5747095134350035,1.6757575757575758,2.072463768115942,1.834521687462864,1.6236559139784947,1.863030303030303,2.067901234567901,1.9388440860215053,1.9656820303879128
ministral8,2.3401234567901237,1.998840579710145,2.0837742504409174,1.9294727025539038,1.8074711270410193,2.0316205533596836,1.9445299671592775,1.7968221771467208,1.9874946374946376,2.154610622352558,1.4175713399503722,1.8569664902998237,1.8090229079008884,1.9086419753086419,2.0004650081376423,1.2744133885438231,1.9316888045540797,2.0669298022239198,1.9833333333333334,1.9902085994040017,1.7881241565452093,1.771604938271605,1.775380051909529,1.9620811287477953,1.4709602870522411,1.888888888888889,1.9592830009496673,1.642089093701997,1.694307546794106,2.0544927536231885,1.8351866693381418,1.7097747931081262,1.673015873015873,1.982638888888889,2.010109364948075,1.8544546850998465
mixtral,2.5684981684981683,1.2734885620915033,1.8978390154860743,1.6890756302521008,2.16059379217274,1.6693799062220116,2.1449390567037625,1.1276334026334025,2.194312733786418,2.0875661375661374,1.3993993993993994,1.7259364627785683,1.9321123321123321,2.210988562091503,2.1473011473011474,1.1598909834203952,2.0689046189046185,1.862095141700405,1.4658605974395449,1.8761159655896498,2.2201788254419834,1.3704514230830023,1.3770913770913769,2.1134454292349028,1.2261090761090758,1.7540566882672144,1.7407407407407407,1.4727155727155727,1.6344594594594595,2.2487179487179487,1.408785332314744,1.0373015873015872,1.534457057676872,2.383883883883884,2.106071106071106,1.4829434697855748
phi,2.0397709817064658,1.7297008547008546,2.053207671957672,2.175744371822803,1.857194729743749,2.0361173203278464,1.803030303030303,1.564132104454685,1.9003189792663477,2.0986176142697883,1.6808981657179,1.7750529941706414,1.703233574131407,1.9304062126642771,1.8933143669985775,1.287758346581876,2.3101806239737273,1.673109243697479,1.5448540706605225,1.6914188322857056,1.9876882376882374,1.670037084844387,1.5514173998044967,1.9270586375849534,1.226005575467941,1.9997354497354498,1.9450617283950618,1.6562592003768473,1.654813858667814,1.9718664477285168,2.130651340996169,1.491199182375653,1.847209653092006,1.8986295593506217,1.9389770723104054,1.6783202039369023
phi_medium,2.0453216374269005,1.4985380116959064,2.035714285714286,2.1284007119247397,1.7698277952946881,1.8729468599033818,2.081585081585082,1.847265221878225,1.8898245614035087,2.0454545454545454,1.6427327461810222,1.9713064713064714,1.9193899782135075,1.9318478906714198,2.0324400330851944,1.0724637681159421,2.0431848852901484,1.7840336134453783,1.537037037037037,1.8390202702702705,1.9258312020460358,1.5999999999999999,1.6311287477954144,2.034838709677419,1.2853535353535352,1.9876543209876543,1.962418300653595,1.884057971014493,1.8994204720011172,1.884920634920635,1.6788415556531502,1.5353846153846156,1.8915053763440859,1.982905982905983,2.0405844155844157,1.9083150183150182
phi_small,2.7075757575757575,1.514132553606238,2.0952991452991454,2.138888888888889,1.3763888888888889,2.070028011204482,1.6275576275576276,1.9686274509803923,1.972222222222222,1.8024132730015083,1.7333333333333334,1.579230769230769,1.8154761904761905,1.6398148148148148,2.0324675324675323,1.1777777777777778,2.029292929292929,1.6194250194250195,1.501955371520589,1.9011437908496733,1.937037037037037,1.563973063973064,1.5344827586206897,2.049206349206349,1.6666666666666667,1.8851851851851853,1.7270531400966185,1.5722222222222222,1.5619797776660522,1.8155178155178155,1.9210526315789476,1.6962962962962962,1.719047619047619,1.9898989898989898,2.0265068990559185,1.6556037151702787
qwen,2.4840065058281375,1.7563492063492063,2.1232183908045976,1.7498172514619883,1.4534313725490196,1.4758919241677864,1.7944159544159544,1.7746867167919802,1.6411287477954144,1.8754208754208754,1.2760084200944417,1.490282329940774,1.3763440860215053,1.674433591100258,1.7274621212121213,1.1168746286393345,2.3686868686868685,1.6664963814389102,1.4815668202764976,1.6099369670003707,1.788446455505279,1.3391079251294304,1.548346366894754,1.7615440115440115,1.1538022616453987,1.625110521662246,1.6258309591642925,1.3899382716049382,1.3183622828784118,2.078002244668911,2.078632478632479,1.3921966205837173,1.3981481481481481,2.0033333333333334,2.0180448991190683,1.2990520282186948
qwen_big,2.4980952380952384,1.4514285714285713,2.087674624226348,1.553015873015873,1.3598864903212728,1.6414974113898844,1.2932763532763534,1.6796878483835005,1.5221929824561407,2.0674603174603177,1.3770833333333332,1.5424087406846028,1.475079365079365,1.9453423120089788,1.90625,1.1358024691358024,2.3951231774761186,1.4138608305274971,1.48982905982906,1.7409090909090912,2.060493827160494,1.424722906403941,1.3225308641975309,2.1273504273504273,1.4034906509878702,1.4429212762546095,1.4691358024691359,1.44011544011544,1.331896551724138,1.717094017094017,1.8574301366063377,1.3319327731092436,1.6305736020878452,1.9378654970760234,1.6882053330670128,1.7768837803320563
qwen_very_big,2.1758928571428573,1.1868319234048135,2.047438672438673,1.8076569264069267,1.6580554802566188,1.9301841948900773,1.620706391875747,1.5013628346961683,1.6657706093189963,1.725915431560593,1.402755696873344,1.83218954248366,1.5896217357910907,1.9554128164675832,2.0109737076648844,1.1038743812937362,1.9407126291376766,1.8541083099906628,1.227750410509031,1.6137383689107827,1.640344982078853,1.180952380952381,1.245777027027027,1.9022578728461081,1.3292765382014875,1.7730670762928826,1.7955149876042371,1.2517612161661105,1.3513538748832865,1.9926495726495725,1.4302159302159303,1.0662427133015369,1.6874304783092324,1.944933202997719,1.8472785665990532,1.96712962962963
